TS;com.samsung.health.heart_rate.heart_rate
2020-04-22 09:50:29.315;91.0
2020-04-07 21:50:29.264;84.0
2020-04-22 21:10:57.734;88.0
2020-04-08 03:50:29.271;64.0
2020-04-23 16:21:04.141;98.0
2020-04-07 22:50:29.283;76.0
2020-04-08 10:50:29.242;83.0
2020-04-24 01:50:29.350;72.0
2020-04-24 07:40:40.903;70.0
2020-04-08 16:20:29.234;78.0
2020-04-24 14:32:58.313;74.0
2020-04-08 22:40:29.352;72.0
2020-04-24 20:40:29.262;88.0
2020-04-09 03:50:29.334;68.0
2020-04-25 02:50:29.367;82.0
2020-04-09 09:50:29.249;83.0
2020-04-09 16:11:05.295;96.0
2020-04-09 23:20:29.281;67.0
2020-04-10 05:51:05.525;65.0
2020-04-10 12:50:29.303;81.0
2020-04-11 07:50:29.283;75.0
2020-04-11 13:40:51.519;94.0
2020-04-08 04:50:56.444;74.0
2020-04-25 08:30:49.742;83.0
2020-04-08 11:50:29.341;83.0
2020-04-25 17:50:29.274;75.0
2020-04-26 18:06:26.759;75.0
2020-04-07 23:50:29.332;74.0
2020-04-08 17:40:49.674;78.0
2020-04-26 05:50:29.301;69.0
2020-04-08 23:22:16.334;66.0
2020-04-26 13:50:29.341;74.0
2020-04-09 04:40:29.311;70.0
2020-04-26 19:20:49.734;90.0
2020-04-09 10:50:29.334;87.0
2020-04-27 01:10:29.300;69.0
2020-04-27 07:40:29.321;66.0
2020-04-27 14:50:29.318;79.0
2020-04-08 15:50:29.244;81.0
2020-04-08 05:50:29.248;64.0
2020-04-28 08:40:29.272;74.0
2020-04-28 15:40:49.776;75.0
2020-04-08 21:50:29.298;74.0
2020-04-28 23:40:29.297;68.0
2020-04-08 12:30:55.703;83.0
2020-04-09 02:50:29.301;67.0
2020-04-29 05:40:29.263;76.0
2020-04-29 14:50:29.295;93.0
2020-04-09 08:40:29.255;80.0
2020-04-08 18:20:49.764;85.0
2020-04-29 21:50:29.284;85.0
2020-04-09 14:00:56.230;87.0
2020-04-30 03:40:29.306;81.0
2020-04-08 23:50:29.278;65.0
2020-04-09 22:10:29.356;73.0
2020-04-09 18:02:20.308;77.0
2020-04-10 04:50:29.283;71.0
2020-04-10 00:50:29.295;70.0
2020-04-10 06:40:29.275;65.0
2020-04-10 11:20:29.338;83.0
2020-04-09 05:40:29.286;71.0
2020-04-30 09:50:29.354;71.0
2020-04-10 13:50:29.369;81.0
2020-04-11 08:10:29.345;76.0
2020-04-30 17:50:29.234;69.0
2020-04-11 14:30:52.529;102.0
2020-04-30 23:50:29.295;71.0
2020-04-11 20:50:29.272;83.0
2020-05-01 05:40:29.327;79.0
2020-04-12 02:40:29.267;66.0
2020-05-01 11:10:29.286;73.0
2020-05-01 18:20:29.232;74.0
2020-04-12 08:30:29.335;76.0
2020-05-02 01:20:29.260;66.0
2020-04-12 14:30:29.277;84.0
2020-04-12 22:50:29.315;71.0
2020-05-02 07:40:29.263;88.0
2020-04-13 04:40:29.339;70.0
2020-05-02 13:51:27.905;80.0
2020-05-02 18:10:29.317;66.0
2020-04-13 10:20:29.244;86.0
2020-04-09 11:10:29.282;88.0
2020-05-03 17:50:29.369;75.0
2020-04-13 17:50:29.235;83.0
2020-05-04 00:50:29.257;72.0
2020-04-13 23:50:29.363;65.0
2020-05-04 06:50:29.287;70.0
2020-04-14 05:50:29.278;72.0
2020-05-04 16:50:29.294;77.0
2020-04-09 19:50:49.333;73.0
2020-04-14 14:40:55.145;88.0
2020-05-04 23:20:29.307;73.0
2020-04-14 21:50:29.297;90.0
2020-05-05 05:50:29.247;81.0
2020-04-15 03:52:25.094;75.0
2020-05-05 11:40:41.701;77.0
2020-04-15 08:50:29.311;91.0
2020-05-05 12:50:33.067;81.0
2020-04-02 04:40:29.274;73.0
2020-05-05 13:30:29.265;75.0
2020-04-02 10:30:29.287;82.0
2020-04-11 06:50:29.340;68.0
2020-05-05 14:30:29.302;103.0
2020-04-02 19:30:50.793;81.0
2020-05-05 18:30:48.192;76.0
2020-04-03 01:50:29.320;73.0
2020-05-05 19:50:29.328;79.0
2020-04-03 09:50:29.242;108.0
2020-05-05 21:50:29.242;75.0
2020-05-05 22:50:29.320;73.0
2020-04-03 15:50:36.858;90.0
2020-05-05 23:30:29.306;68.0
2020-04-03 22:50:29.331;71.0
2020-05-06 00:50:29.257;69.0
2020-04-04 04:40:29.293;68.0
2020-04-10 01:51:03.689;77.0
2020-04-04 10:10:29.302;73.0
2020-05-06 01:20:29.287;63.0
2020-04-04 20:30:29.304;82.0
2020-05-06 02:40:29.309;79.0
2020-04-10 07:20:29.328;80.0
2020-05-06 03:50:29.277;72.0
2020-04-05 02:30:45.702;70.0
2020-05-06 04:50:29.267;75.0
2020-04-08 00:50:29.257;78.0
2020-05-06 05:50:29.311;84.0
2020-04-05 08:30:29.375;73.0
2020-04-08 06:50:29.274;65.0
2020-05-06 06:50:29.251;73.0
2020-04-05 20:50:29.380;90.0
2020-05-06 07:50:29.355;75.0
2020-04-08 13:50:49.672;94.0
2020-05-06 09:31:43.116;102.0
2020-04-06 20:50:29.296;86.0
2020-04-08 19:10:50.246;69.0
2020-05-06 10:50:29.263;75.0
2020-04-07 02:50:29.223;72.0
2020-05-06 11:10:29.275;73.0
2020-04-09 00:50:29.216;64.0
2020-05-06 15:10:29.309;84.0
2020-04-07 08:50:29.304;77.0
2020-04-09 06:20:29.227;73.0
2020-05-06 16:22:04.721;84.0
2020-04-07 14:20:29.294;72.0
2020-04-09 12:50:29.317;88.0
2020-04-09 20:31:54.699;85.0
2020-03-24 12:30:29.284;85.0
2020-04-10 02:50:29.363;69.0
2020-03-24 18:40:29.249;80.0
2020-04-10 09:50:29.312;79.0
2020-03-25 00:40:29.228;72.0
2020-04-10 17:01:11.228;85.0
2020-03-25 06:40:29.350;64.0
2020-04-11 10:10:29.309;75.0
2020-03-25 12:40:29.401;96.0
2020-03-25 19:50:29.321;83.0
2020-03-26 01:40:29.287;68.0
2020-03-26 07:50:29.391;78.0
2020-03-26 13:20:29.355;84.0
2020-03-26 21:30:50.148;80.0
2020-04-11 16:41:54.545;121.0
2020-03-27 16:40:29.380;87.0
2020-04-11 22:40:29.207;75.0
2020-04-12 04:40:29.225;74.0
2020-04-12 10:30:29.302;79.0
2020-03-27 22:30:29.224;79.0
2020-04-12 18:00:29.271;84.0
2020-04-13 00:50:29.298;69.0
2020-03-28 04:50:29.293;69.0
2020-04-13 06:50:29.230;64.0
2020-04-11 19:00:00.000;108.0
2020-03-28 12:50:29.310;79.0
2020-04-13 13:10:29.279;88.0
2020-03-28 19:51:58.838;80.0
2020-04-12 01:50:29.376;68.0
2020-04-13 19:51:16.225;84.0
2020-04-14 01:50:29.266;67.0
2020-04-12 07:50:29.247;75.0
2020-03-29 00:54:18.851;68.0
2020-04-14 07:10:29.222;70.0
2020-04-12 13:50:56.165;85.0
2020-04-14 17:40:41.711;111.0
2020-03-29 06:50:29.384;71.0
2020-04-12 21:50:29.235;76.0
2020-04-14 23:40:29.385;75.0
2020-03-29 13:20:29.212;72.0
2020-04-15 04:55:46.086;66.0
2020-04-13 03:10:29.285;71.0
2020-03-29 20:50:29.327;89.0
2020-03-30 02:50:29.302;68.0
2020-04-10 14:00:29.276;76.0
2020-03-30 10:00:51.028;74.0
2020-03-30 16:30:29.265;74.0
2020-03-31 09:40:29.295;70.0
2020-04-11 09:50:29.283;68.0
2020-03-31 16:40:29.300;83.0
2020-04-01 18:50:29.269;81.0
2020-04-11 15:20:43.867;101.0
2020-04-02 00:50:29.289;64.0
2020-04-16 06:50:29.245;84.0
2020-04-11 21:50:29.391;82.0
2020-04-16 14:50:29.221;84.0
2020-04-16 20:50:29.278;91.0
2020-04-12 03:40:29.295;65.0
2020-04-17 02:30:29.338;72.0
2020-04-17 13:50:29.296;89.0
2020-04-17 19:40:29.322;78.0
2020-04-12 09:41:28.027;81.0
2020-04-18 01:40:29.304;66.0
2020-04-18 08:50:54.835;72.0
2020-04-12 17:50:29.315;83.0
2020-04-18 17:50:29.212;82.0
2020-04-18 23:50:29.234;68.0
2020-04-19 05:50:29.222;65.0
2020-04-19 12:20:29.228;89.0
2020-04-20 20:40:29.247;84.0
2020-04-11 12:00:00.000;114.0
2020-04-21 02:50:29.381;69.0
2020-04-12 23:50:29.243;69.0
2020-04-21 08:10:29.335;83.0
2020-04-21 18:23:11.917;103.0
2020-04-11 18:40:29.310;88.0
2020-04-22 00:50:29.254;82.0
2020-04-13 05:50:29.256;70.0
2020-04-22 06:50:29.245;77.0
2020-04-13 12:20:29.262;82.0
2020-04-12 00:20:29.385;65.0
2020-04-22 17:20:29.272;95.0
2020-04-23 12:30:29.279;99.0
2020-04-12 06:50:29.335;69.0
2020-04-23 22:40:29.303;76.0
2020-04-13 18:30:29.299;82.0
2020-04-24 04:30:29.230;77.0
2020-04-14 00:30:29.260;65.0
2020-04-12 12:50:29.279;87.0
2020-04-24 11:00:29.324;70.0
2020-04-24 17:30:29.346;77.0
2020-04-14 06:50:29.223;73.0
2020-04-12 20:51:07.292;83.0
2020-04-24 23:50:29.232;70.0
2020-04-25 05:40:29.336;78.0
2020-04-14 15:10:53.612;95.0
2020-04-13 02:50:29.331;69.0
2020-04-13 08:20:29.300;75.0
2020-04-13 15:40:29.268;88.0
2020-04-25 11:40:50.561;82.0
2020-04-13 21:50:29.216;80.0
2020-04-25 21:50:29.276;85.0
2020-04-26 02:51:20.408;93.0
2020-04-14 03:20:29.283;66.0
2020-04-14 22:50:29.230;79.0
2020-04-26 08:40:49.698;71.0
2020-04-26 16:51:37.198;72.0
2020-04-14 09:50:53.561;85.0
2020-04-26 22:50:29.307;75.0
2020-04-27 04:50:29.299;76.0
2020-04-27 11:10:29.324;78.0
2020-04-14 19:40:29.240;102.0
2020-04-27 17:11:54.383;97.0
2020-04-28 12:50:29.334;89.0
2020-04-28 18:20:29.257;80.0
2020-04-15 04:50:29.238;71.0
2020-04-15 01:50:29.286;69.0
2020-04-29 02:30:50.244;86.0
2020-04-29 08:50:29.294;78.0
2020-04-29 17:20:29.282;81.0
2020-04-30 00:50:29.298;79.0
2020-04-15 09:30:54.597;88.0
2020-04-30 06:30:29.240;69.0
2020-05-12 09:00:00.000;80.0
2020-04-30 14:50:29.382;66.0
2020-04-30 20:50:29.294;96.0
2020-05-12 11:10:29.350;74.0
2020-04-02 05:50:29.244;67.0
2020-05-01 02:40:29.257;77.0
2020-05-12 12:21:18.937;82.0
2020-05-01 08:50:29.316;78.0
2020-05-01 15:40:59.674;73.0
2020-05-12 13:42:05.048;86.0
2020-04-02 11:50:29.319;84.0
2020-05-01 22:30:29.314;74.0
2020-05-12 14:30:29.292;81.0
2020-05-02 04:50:29.285;79.0
2020-05-02 10:10:29.305;83.0
2020-05-12 15:40:49.820;87.0
2020-05-02 15:53:12.475;83.0
2020-04-02 20:50:57.142;76.0
2020-05-12 16:40:29.288;78.0
2020-05-03 13:30:58.699;73.0
2020-05-03 21:50:56.295;76.0
2020-05-12 17:20:29.303;77.0
2020-05-04 03:50:29.308;81.0
2020-04-03 02:50:29.236;74.0
2020-05-04 11:52:21.726;89.0
2020-05-12 20:10:47.469;85.0
2020-05-04 19:51:13.731;85.0
2020-05-12 21:50:54.668;95.0
2020-05-05 02:50:29.350;84.0
2020-04-03 10:50:29.243;78.0
2020-05-05 08:40:29.315;78.0
2020-05-12 22:50:29.285;74.0
2020-04-01 11:00:00.000;92.0
2020-05-16 10:30:29.276;100.0
2020-04-03 17:40:42.336;83.0
2020-04-02 06:50:29.256;64.0
2020-05-16 12:20:49.683;94.0
2020-05-12 23:30:29.290;64.0
2020-04-02 12:40:52.067;91.0
2020-05-16 14:31:17.816;87.0
2020-04-02 21:30:29.276;76.0
2020-05-13 00:50:29.331;63.0
2020-05-16 16:40:29.350;108.0
2020-04-03 23:30:29.216;69.0
2020-04-03 03:50:29.309;71.0
2020-05-16 17:00:29.262;91.0
2020-05-13 01:10:29.292;68.0
2020-04-03 11:40:41.533;82.0
2020-05-16 18:30:54.320;100.0
2020-05-16 19:40:29.293;92.0
2020-05-13 02:30:29.245;75.0
2020-04-04 05:50:29.276;64.0
2020-05-16 20:41:01.238;91.0
2020-04-03 18:50:29.229;82.0
2020-05-16 21:40:35.459;87.0
2020-04-04 00:50:29.244;68.0
2020-05-13 03:50:29.244;72.0
2020-05-16 22:50:29.272;79.0
2020-04-04 06:30:29.240;64.0
2020-05-16 23:50:29.294;81.0
2020-04-04 16:20:29.324;87.0
2020-05-17 00:20:29.318;76.0
2020-04-04 22:50:29.264;75.0
2020-05-13 04:50:29.262;68.0
2020-04-04 11:10:29.302;82.0
2020-05-17 01:30:54.695;80.0
2020-04-05 04:50:29.254;73.0
2020-05-13 05:50:29.266;65.0
2020-04-05 14:50:49.636;87.0
2020-04-05 22:40:29.293;72.0
2020-05-17 02:40:50.093;76.0
2020-04-06 22:20:29.282;75.0
2020-04-04 21:50:29.301;77.0
2020-05-17 03:40:29.284;77.0
2020-04-07 04:50:29.214;69.0
2020-05-17 04:40:29.248;75.0
2020-04-07 10:10:29.280;78.0
2020-05-17 05:50:29.306;78.0
2020-05-17 06:40:29.353;75.0
2020-04-07 17:50:29.285;86.0
2020-05-17 07:50:29.341;74.0
2020-05-17 08:00:29.319;78.0
2020-05-17 10:40:54.653;77.0
2020-03-24 14:00:56.125;86.0
2020-03-24 20:00:29.262;74.0
2020-05-17 11:50:29.337;79.0
2020-03-25 02:30:29.304;68.0
2020-05-17 13:10:29.282;89.0
2020-05-13 06:50:29.269;65.0
2020-04-05 03:30:29.291;68.0
2020-03-25 08:11:30.340;87.0
2020-05-17 14:50:29.250;82.0
2020-03-25 14:50:29.285;91.0
2020-05-17 15:40:29.297;76.0
2020-05-13 07:40:29.267;72.0
2020-05-17 16:42:40.883;85.0
2020-05-17 19:40:29.342;87.0
2020-04-05 10:01:58.415;104.0
2020-03-25 21:40:29.320;85.0
2020-05-17 20:20:29.328;82.0
2020-05-13 09:50:29.296;70.0
2020-03-26 03:10:29.251;63.0
2020-05-17 21:50:29.256;78.0
2020-03-26 09:30:29.312;78.0
2020-05-13 10:20:29.254;76.0
2020-04-05 21:40:29.373;82.0
2020-05-17 22:50:29.256;79.0
2020-03-26 17:50:29.336;81.0
2020-05-17 23:40:29.287;75.0
2020-05-13 11:50:29.306;68.0
2020-04-06 21:50:29.323;82.0
2020-03-27 09:00:29.337;84.0
2020-05-18 00:50:29.265;67.0
2020-03-27 18:30:29.305;82.0
2020-05-18 01:00:29.283;72.0
2020-05-13 12:50:52.853;67.0
2020-05-18 02:40:29.613;81.0
2020-03-28 00:50:29.363;71.0
2020-04-07 03:52:28.397;75.0
2020-03-28 06:50:29.233;63.0
2020-05-18 03:50:29.280;81.0
2020-05-18 04:50:29.250;71.0
2020-05-13 13:10:58.571;67.0
2020-05-18 05:40:29.309;74.0
2020-05-18 06:50:29.354;74.0
2020-03-28 15:50:50.273;81.0
2020-04-07 09:30:29.278;77.0
2020-05-13 15:40:29.259;68.0
2020-05-18 07:10:29.349;74.0
2020-05-13 16:40:29.308;74.0
2020-03-28 21:50:29.326;78.0
2020-05-18 09:40:29.328;85.0
2020-04-07 15:40:58.574;78.0
2020-05-18 10:40:29.329;81.0
2020-05-13 17:40:29.267;67.0
2020-03-29 02:50:29.309;76.0
2020-05-18 13:40:40.210;78.0
2020-03-24 13:40:29.315;87.0
2020-05-13 18:10:29.324;71.0
2020-03-29 09:50:29.297;86.0
2020-05-18 14:40:29.259;73.0
2020-03-29 16:50:29.247;72.0
2020-05-13 19:30:37.933;90.0
2020-05-18 15:53:05.375;78.0
2020-03-24 19:50:29.266;82.0
2020-03-29 22:40:29.285;73.0
2020-05-13 20:10:50.135;77.0
2020-05-19 09:10:29.250;83.0
2020-03-30 04:50:29.241;65.0
2020-05-14 08:40:29.357;72.0
2020-05-19 11:10:29.307;81.0
2020-05-19 13:30:29.302;72.0
2020-05-14 09:50:52.209;67.0
2020-03-25 01:50:29.327;66.0
2020-05-19 14:40:29.245;81.0
2020-05-14 10:50:49.589;73.0
2020-05-19 15:10:29.320;71.0
2020-03-25 07:50:29.238;68.0
2020-05-19 16:32:19.617;86.0
2020-03-30 12:50:29.319;77.0
2020-05-14 11:00:29.301;71.0
2020-05-19 17:50:29.310;91.0
2020-03-30 18:50:29.264;81.0
2020-05-19 18:50:29.292;76.0
2020-03-25 13:10:56.392;101.0
2020-05-19 19:50:51.746;83.0
2020-03-31 12:52:50.031;83.0
2020-05-14 12:42:08.445;115.0
2020-05-19 20:30:29.270;85.0
2020-04-01 12:40:29.240;87.0
2020-05-19 21:50:29.225;80.0
2020-05-14 13:10:29.312;69.0
2020-03-25 20:20:40.029;82.0
2020-04-01 20:30:29.360;80.0
2020-05-19 22:51:02.049;76.0
2020-05-14 15:50:29.339;77.0
2020-05-19 23:50:29.331;69.0
2020-04-15 12:10:54.634;89.0
2020-05-20 00:50:29.303;73.0
2020-03-26 02:50:29.300;67.0
2020-04-15 06:00:00.000;70.0
2020-05-20 01:40:46.041;76.0
2020-04-16 09:10:53.207;85.0
2020-04-13 09:00:00.000;105.0
2020-04-02 02:30:29.236;63.0
2020-05-20 02:40:29.263;70.0
2020-05-14 16:50:29.270;72.0
2020-04-16 16:20:36.464;93.0
2020-04-02 08:32:09.343;86.0
2020-05-20 03:10:29.286;71.0
2020-03-26 08:31:14.516;88.0
2020-05-14 17:10:29.275;71.0
2020-04-16 22:50:29.293;77.0
2020-04-13 16:50:55.821;82.0
2020-05-20 04:40:40.688;74.0
2020-04-02 17:20:50.961;80.0
2020-04-17 04:50:29.332;82.0
2020-05-14 18:10:29.323;70.0
2020-03-26 16:50:29.280;79.0
2020-05-20 05:20:29.230;73.0
2020-04-02 23:40:29.274;74.0
2020-04-17 15:00:29.223;86.0
2020-05-14 20:20:29.289;78.0
2020-05-20 06:41:30.249;70.0
2020-04-03 07:30:29.294;77.0
2020-04-17 21:50:29.260;78.0
2020-03-27 08:43:26.857;80.0
2020-05-20 07:50:29.282;82.0
2020-04-03 13:50:49.116;97.0
2020-05-20 09:20:54.749;82.0
2020-04-18 03:30:29.268;65.0
2020-04-03 20:50:29.307;82.0
2020-04-13 22:40:29.288;74.0
2020-04-04 02:50:29.245;66.0
2020-05-20 10:50:58.494;82.0
2020-03-27 17:40:29.222;83.0
2020-04-18 11:10:29.277;84.0
2020-04-04 08:40:29.242;76.0
2020-05-20 11:50:29.308;78.0
2020-04-14 04:50:29.307;69.0
2020-04-18 19:40:29.320;82.0
2020-04-04 18:30:29.307;76.0
2020-03-27 23:40:29.297;76.0
2020-04-05 00:51:03.462;67.0
2020-04-19 01:50:29.254;65.0
2020-04-14 10:10:29.265;81.0
2020-04-05 06:50:29.226;64.0
2020-04-19 07:50:29.328;75.0
2020-03-28 05:40:29.243;72.0
2020-04-05 18:50:29.310;85.0
2020-04-19 15:10:50.244;89.0
2020-04-20 22:50:46.435;76.0
2020-03-28 14:50:29.314;93.0
2020-05-14 21:50:29.249;78.0
2020-04-21 04:30:29.288;72.0
2020-03-28 20:50:49.833;84.0
2020-05-14 22:20:29.281;69.0
2020-04-21 11:51:27.930;90.0
2020-03-29 01:51:35.946;72.0
2020-04-14 20:40:29.243;96.0
2020-05-14 23:20:29.303;66.0
2020-04-21 20:31:08.224;93.0
2020-04-06 00:20:29.298;67.0
2020-05-20 12:40:29.291;92.0
2020-05-15 00:50:29.270;63.0
2020-03-29 07:20:29.249;81.0
2020-04-22 02:30:29.288;83.0
2020-05-15 01:00:29.303;58.0
2020-04-22 08:10:54.673;52.0
2020-04-15 02:40:29.316;67.0
2020-03-29 15:50:50.327;74.0
2020-05-20 13:30:54.733;78.0
2020-05-15 02:50:29.310;71.0
2020-04-22 20:40:29.271;89.0
2020-03-29 21:50:29.354;83.0
2020-04-15 07:40:54.212;73.0
2020-05-15 03:50:29.242;74.0
2020-04-23 14:20:55.373;84.0
2020-03-30 03:30:29.285;68.0
2020-05-15 04:50:29.327;73.0
2020-04-02 03:50:29.263;61.0
2020-04-24 00:30:29.321;70.0
2020-05-20 14:40:49.624;77.0
2020-03-30 11:20:59.600;88.0
2020-05-15 05:40:29.305;76.0
2020-04-24 06:50:29.370;74.0
2020-04-02 09:00:29.301;81.0
2020-05-15 06:50:32.352;67.0
2020-04-24 13:50:54.678;70.0
2020-03-30 17:40:29.314;82.0
2020-04-24 19:50:29.317;80.0
2020-05-20 15:20:29.275;78.0
2020-05-15 07:10:29.303;75.0
2020-03-31 10:00:43.953;84.0
2020-05-15 10:50:49.760;89.0
2020-05-20 16:20:29.285;63.0
2020-04-25 01:30:29.289;70.0
2020-05-15 12:11:46.162;111.0
2020-04-01 10:40:50.823;76.0
2020-04-07 00:50:29.243;70.0
2020-05-20 17:50:29.326;87.0
2020-04-02 18:50:29.353;87.0
2020-05-15 14:03:12.656;100.0
2020-04-07 06:40:29.235;68.0
2020-04-01 19:40:38.893;82.0
2020-04-25 07:50:29.299;81.0
2020-05-20 18:30:29.273;79.0
2020-05-15 15:40:39.850;87.0
2020-04-07 12:50:29.328;82.0
2020-05-20 19:40:54.651;87.0
2020-04-15 11:40:56.404;91.0
2020-04-03 00:50:53.276;75.0
2020-05-15 16:50:29.303;79.0
2020-05-20 20:20:49.578;80.0
2020-05-15 17:00:29.254;78.0
2020-03-24 11:05:54.609;84.0
2020-04-16 08:50:29.330;95.0
2020-05-15 18:30:39.970;88.0
2020-05-20 21:50:29.288;80.0
2020-04-16 15:40:46.311;85.0
2020-03-24 16:50:53.855;83.0
2020-05-15 20:33:00.348;84.0
2020-05-20 22:50:56.166;73.0
2020-05-15 21:50:29.259;83.0
2020-05-20 23:40:29.311;63.0
2020-03-24 22:40:29.297;75.0
2020-04-03 08:00:29.326;73.0
2020-05-15 22:30:29.245;80.0
2020-05-21 00:50:29.388;66.0
2020-05-21 01:30:29.287;75.0
2020-03-25 04:20:29.273;66.0
2020-05-15 23:50:29.306;83.0
2020-05-21 02:40:31.133;73.0
2020-05-16 00:40:29.311;79.0
2020-04-03 14:50:29.276;83.0
2020-05-21 03:30:29.248;69.0
2020-03-25 10:40:29.244;84.0
2020-05-21 04:20:29.245;68.0
2020-05-16 01:00:29.336;74.0
2020-05-21 05:50:29.276;64.0
2020-04-03 21:50:29.217;79.0
2020-05-16 02:40:29.300;78.0
2020-03-25 17:40:54.681;88.0
2020-05-21 06:50:29.230;81.0
2020-04-25 16:40:29.280;83.0
2020-05-16 03:40:29.302;74.0
2020-05-21 07:31:07.520;82.0
2020-04-04 03:50:29.218;66.0
2020-05-16 04:40:31.039;71.0
2020-04-25 23:50:29.301;80.0
2020-05-21 08:21:09.692;106.0
2020-03-25 23:50:29.243;76.0
2020-04-26 04:50:29.345;76.0
2020-05-16 05:50:29.305;70.0
2020-05-21 10:50:29.254;79.0
2020-05-16 06:50:29.247;79.0
2020-05-21 11:10:29.232;89.0
2020-04-26 12:40:29.329;95.0
2020-03-26 05:40:29.272;68.0
2020-05-21 12:30:29.321;83.0
2020-04-26 18:20:54.548;83.0
2020-05-16 07:50:29.318;61.0
2020-04-16 21:40:29.233;88.0
2020-05-21 13:50:29.309;83.0
2020-04-27 00:50:29.334;68.0
2020-05-16 08:50:36.984;93.0
2020-03-26 11:50:40.090;82.0
2020-05-21 14:40:29.324;77.0
2020-05-16 09:51:07.067;91.0
2020-04-27 06:30:29.284;68.0
2020-04-17 03:20:29.358;73.0
2020-05-21 15:40:41.620;79.0
2020-05-21 17:50:29.283;74.0
2020-04-27 13:10:29.293;75.0
2020-05-21 16:30:29.298;72.0
2020-03-26 19:50:29.244;83.0
2020-04-17 14:50:29.335;87.0
2020-04-27 19:41:08.611;84.0
2020-05-21 18:20:29.270;78.0
2020-05-28 08:10:29.297;91.0
2020-05-21 19:50:29.268;97.0
2020-05-28 09:00:49.784;79.0
2020-04-28 14:50:29.332;71.0
2020-04-17 20:50:46.388;85.0
2020-03-27 11:10:29.300;80.0
2020-05-28 10:40:56.630;91.0
2020-05-21 20:20:51.016;82.0
2020-04-28 22:50:29.319;77.0
2020-04-18 02:30:29.305;69.0
2020-05-28 12:50:29.358;90.0
2020-04-29 04:50:29.250;78.0
2020-05-21 21:51:03.399;84.0
2020-04-18 10:51:07.941;80.0
2020-05-21 22:40:29.253;75.0
